Date Series Type
1981-04-01 6.0039e-05 C
1981-05-01 0.00057225 C
1981-06-01 0.00052752 C
1981-07-01 0 C
1981-08-01 0.00165165 C
1981-09-01 0.0030408 C
1981-10-01 0.0111972 C
1981-11-01 0.067809 C
1981-12-01 0.170121 C
1982-01-01 0.24948 C
1982-02-01 0.48699 C
1982-03-01 0.27426 C
1982-04-01 0.181272 C
1982-05-01 0.083958 C
1982-06-01 0.039291 C
1982-07-01 0.013251 C
1982-08-01 0.003675 C
1982-09-01 0.0046452 C
1982-10-01 0.027573 C
1982-11-01 0.100989 C
1982-12-01 0.097104 C
1983-01-01 0.180873 C
1983-02-01 0.32046 C
1983-03-01 0.32655 C
1983-04-01 0.193662 C
1983-05-01 0.088389 C
1983-06-01 0.044625 C
1983-07-01 0.0169239 C
1983-08-01 0.0041013 C
1983-09-01 0.0066486 C
1983-10-01 0.0161385 C
1983-11-01 0.032361 C
1983-12-01 0.20139 C
1984-01-01 0.26103 C
1984-02-01 0.6237 C
1984-03-01 0.42714 C
1984-04-01 0.231 C
1984-05-01 0.122031 C
1984-06-01 0.056532 C
1984-07-01 0.022239 C
1984-08-01 0.0063756 C
1984-09-01 0.0043974 C
1984-10-01 0.03486 C
1984-11-01 0.101598 C
1984-12-01 0.21819 C
1985-01-01 0.22617 C
1985-02-01 0.3486 C
1985-03-01 0.28707 C
1985-04-01 0.16737 C
1985-05-01 0.08652 C
1985-06-01 0.042189 C
1985-07-01 0.0153321 C
1985-08-01 0.0043932 C
1985-09-01 0.0061425 C
1985-10-01 0.0130473 C
1985-11-01 0.039921 C
1985-12-01 0.14112 C
1986-01-01 0.34881 C
1986-02-01 0.50337 C
1986-03-01 0.32214 C
1986-04-01 0.23751 C
1986-05-01 0.12138 C
1986-06-01 0.056826 C
1986-07-01 0.025074 C
1986-08-01 0.0109683 C
1986-09-01 0.0062958 C
1986-10-01 0.0102627 C
1986-11-01 0.039207 C
1986-12-01 0.128163 C
1987-01-01 0.30954 C
1987-02-01 0.3906 C
1987-03-01 0.199941 C
1987-04-01 0.106239 C
1987-05-01 0.046326 C
1987-06-01 0.0176547 C
1987-07-01 0.0040572 C
1987-08-01 0.0029715 C
1987-09-01 0.0044268 C
1987-10-01 0.0098028 C
1987-11-01 0.039585 C
1987-12-01 0.102522 C
1988-01-01 0.203469 C
1988-02-01 0.30513 C
1988-03-01 0.21651 C
1988-04-01 0.145614 C
1988-05-01 0.066108 C
1988-06-01 0.030429 C
1988-07-01 0.0082614 C
1988-08-01 0.0026922 C
1988-09-01 0.004053 C
1988-10-01 0.0101493 C
1988-11-01 0.024045 C
1988-12-01 0.10353 C
1989-01-01 0.29085 C
1989-02-01 0.44457 C
1989-03-01 0.34524 C
1989-04-01 0.185052 C
1989-05-01 0.094311 C
1989-06-01 0.044646 C
1989-07-01 0.0160692 C
1989-08-01 0.0038892 C
1989-09-01 0.0041496 C
1989-10-01 0.022827 C
1989-11-01 0.043134 C
1989-12-01 0.032739 C
1990-01-01 0.120477 C
1990-02-01 0.117012 C
1990-03-01 0.09912 C
1990-04-01 0.070497 C
1990-05-01 0.032865 C
1990-06-01 0.0128436 C
1990-07-01 0.0018144 C
1990-08-01 0.00179949 C
1990-09-01 0.0027657 C
1990-10-01 0.016884 C
1990-11-01 0.083202 C
