Date	Series	Type
1981-01-01	3.73578	C
1982-01-01	3.73578	C
1983-01-01	3.73578	C
1984-01-01	3.72906	C
1985-01-01	3.72734	C
1986-01-01	3.70044	C
1987-01-01	3.65154	C
1988-01-01	3.56574	C
1989-01-01	3.50654	C
1990-01-01	3.39454	C
1991-01-01	3.28854	C
1992-01-01	3.28854	C
1993-01-01	3.28854	C
1994-01-01	2.69654	C
1995-01-01	2.13254	C
1996-01-01	1.59854	C
1997-01-01	1.38134	C
1998-01-01	1.27064	C
1999-01-01	1.06734	C
2000-01-01	0.87422	C
2001-01-01	0.81922	C
2002-01-01	0.81922	C
2003-01-01	0.77532	C
2004-01-01	0.77532	C
2005-01-01	0.77423	C
2006-01-01	0.77423	C
2007-01-01	0.77423	C
2008-01-01	0.77423	C
