Run   P01           P02           P03           P04           P05           P06           P07           P08           P09           P10           P11           P12           P13           P14           P15           P16           P17           P18           P19           P20           
1     3.689338E-02  8.249566E-02  9.995935E-01  3.865066E-01  8.783631E+01  6.872489E+01  4.085776E+00  2.737545E-01  1.810966E-01  7.203115E-01  1.552236E+01  9.966391E-02  2.989982E-01  4.449705E-01  4.931367E-01  5.893693E+00  2.200335E-01  9.409744E-02  -8.633542E+00  2.150229E+02  
2     1.622825E-01  8.202471E-02  8.190363E-01  5.018145E-01  8.804613E+01  3.570027E+02  8.049645E-01  4.171913E-01  1.086573E-01  3.779505E-01  3.689178E-02  1.192206E+01  2.071842E-01  2.666880E+00  1.685464E+00  5.913834E+00  6.285333E-01  1.849258E-01  1.504897E+00  1.867406E+02  
3     1.661413E-01  3.193251E-02  8.164717E-01  1.698735E-01  9.153258E+01  8.488954E+01  8.360845E+00  3.201697E-01  4.918744E-01  9.382978E-02  2.477831E+00  1.379502E+01  3.936522E-01  5.294873E+00  2.744935E+00  4.018813E+00  7.714269E-01  8.047493E-01  -3.767074E+00  2.473508E+02  
4     9.222636E-02  4.614943E-02  5.016128E-01  4.945993E-01  9.370661E+01  2.006243E+02  1.585853E+00  6.135050E-01  6.817899E-01  7.717574E-01  1.280477E+01  8.187785E+00  6.877113E-01  3.199364E+00  3.835620E+00  4.586591E+00  8.915638E-01  8.155003E-01  -8.101429E+00  2.254551E+02  
5     8.026142E-02  4.385283E-02  9.016675E-01  1.287730E-01  8.129463E+01  2.594069E+02  1.527616E+00  4.525369E-01  4.712517E-01  7.783172E-01  1.101527E+01  7.763824E+00  5.216583E-01  3.703957E+00  1.470183E+00  1.508636E+00  7.654103E-01  6.185327E-01  -1.978786E-01  2.437850E+02  
6     6.380831E-02  9.279830E-02  6.873638E-01  4.406646E-01  9.136339E+01  3.201956E+01  5.611566E+00  9.658071E-02  5.513950E-03  4.935006E-01  1.641278E+01  1.904722E+00  1.953681E-01  -1.000000E+00  0.000000E+00  5.650836E+00  1.089668E-01  2.600924E-02  -7.492370E+00  2.009099E+02  
7     2.455125E-02  1.226226E-01  9.995935E-01  0.000000E+00  8.653872E+01  6.872489E+01  1.816715E+00  1.058311E-01  1.344348E-01  8.759566E-01  1.964227E+01  9.898017E+00  2.989982E-01  8.851417E-01  4.931367E-01  5.092807E+00  3.361963E-01  1.460258E-01  -9.000000E+00  2.150229E+02  
8     3.689338E-02  8.249566E-02  6.936774E-01  3.865066E-01  8.783631E+01  9.204582E+01  4.085776E+00  2.048704E-01  4.808322E-01  5.867438E-01  1.255029E+01  6.265691E+00  5.904612E-01  4.449705E-01  4.931367E-01  5.561668E+00  1.204542E-01  1.000000E-03  -8.633542E+00  2.150229E+02  
9     2.000000E-02  5.897810E-02  9.995935E-01  3.865066E-01  8.783631E+01  6.872489E+01  5.235018E+00  2.737545E-01  0.000000E+00  7.203115E-01  1.080272E+01  9.966391E-02  2.989982E-01  4.449705E-01  5.273435E-01  5.366339E+00  2.893625E-01  9.222320E-03  -8.633542E+00  2.150229E+02  
10    1.086826E-01  7.617203E-02  9.995935E-01  3.865066E-01  8.783631E+01  2.034892E+02  5.423547E+00  2.737545E-01  1.810966E-01  8.188475E-01  1.552236E+01  9.966391E-02  2.989982E-01  1.585511E+00  9.418333E-01  5.893693E+00  2.551600E-01  2.721481E-01  -6.755002E+00  2.367967E+02  
11    3.689338E-02  8.249566E-02  9.995935E-01  3.865066E-01  8.783631E+01  6.872489E+01  4.085776E+00  2.737545E-01  1.810966E-01  7.203115E-01  6.559950E+00  9.966391E-02  2.989982E-01  1.862369E+00  0.000000E+00  5.893693E+00  2.200335E-01  4.606290E-02  -8.953219E+00  2.150229E+02  
12    2.000000E-02  8.249566E-02  9.995935E-01  3.865066E-01  8.830323E+01  6.872489E+01  4.085776E+00  2.382114E-01  1.810966E-01  7.203115E-01  1.552236E+01  0.000000E+00  2.989982E-01  -1.939554E-01  4.931367E-01  6.642756E+00  6.140005E-01  9.409744E-02  -8.633542E+00  2.150229E+02  
13    3.689338E-02  8.249566E-02  9.995935E-01  3.865066E-01  8.783631E+01  1.300558E+02  1.960373E+00  2.737545E-01  1.810966E-01  7.203115E-01  1.552236E+01  9.966391E-02  2.989982E-01  4.449705E-01  4.931367E-01  4.696258E+00  1.431048E-01  9.409744E-02  -8.633542E+00  2.150229E+02  
14    3.689338E-02  8.249566E-02  9.995935E-01  3.865066E-01  8.783631E+01  6.872489E+01  4.085776E+00  2.737545E-01  1.810966E-01  6.171108E-01  1.455015E+01  9.966391E-02  2.989982E-01  4.449705E-01  4.931367E-01  5.893693E+00  2.200335E-01  9.409744E-02  -9.000000E+00  2.150229E+02  
15    3.689338E-02  9.257640E-02  9.995935E-01  3.865066E-01  8.783631E+01  6.872489E+01  4.085776E+00  2.737545E-01  1.810966E-01  6.171108E-01  1.455015E+01  2.574376E+00  8.010086E-02  3.645753E+00  4.931367E-01  5.893693E+00  2.200335E-01  9.409744E-02  -8.654914E+00  2.150229E+02  
16    3.689338E-02  8.249566E-02  9.995935E-01  3.865066E-01  8.158375E+01  6.872489E+01  4.085776E+00  2.737545E-01  1.810966E-01  6.171108E-01  1.455015E+01  9.966391E-02  2.989982E-01  4.449705E-01  4.931367E-01  5.893693E+00  2.200335E-01  9.409744E-02  -9.000000E+00  2.150229E+02  
