HRUGIS,GLMTMP,GLMFMX,GLMFMN,f_frze,f_accu
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
7,5,0,0,0.003,0.5
8,5,0,0,0.003,0.5
9,5,0,0,0.003,0.5
10,5,0,0,0.003,0.5
11,5,0,0,0.003,0.5
12,5,0,0,0.003,0.5
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
18,5,0,0,0.003,0.5
19,5,0,0,0.003,0.5
20,5,0,0,0.003,0.5
21,5,0,0,0.003,0.5
22,5,0,0,0.003,0.5
23,5,0,0,0.003,0.5
24,5,0,0,0.003,0.5
25,5,0,0,0.003,0.5
26,5,0,0,0.003,0.5
27,5,0,0,0.003,0.5
28,5,0,0,0.003,0.5
29,5,0,0,0.003,0.5
30,5,0,0,0.003,0.5
31,5,0,0,0.003,0.5
32,5,0,0,0.003,0.5
0,0,0,0,0,0
0,0,0,0,0,0
35,5,0,0,0.003,0.5
36,5,0,0,0.003,0.5
37,5,0,0,0.003,0.5
0,0,0,0,0,0
0,0,0,0,0,0
40,5,0,0,0.003,0.5
41,5,0,0,0.003,0.5
0,0,0,0,0,0
43,5,0,0,0.003,0.5
44,5,0,0,0.003,0.5
45,5,0,0,0.003,0.5
46,5,0,0,0.003,0.5
47,5,0,0,0.003,0.5
48,5,0,0,0.003,0.5
49,5,0,0,0.003,0.5
