True Cost 	Penalty 	Adjusted Cost
-9.898004E-01	0.000000E+00	-9.898004E-01
-8.767610E-01	0.000000E+00	-8.767610E-01
-8.391263E-01	0.000000E+00	-8.391263E-01
-8.454366E-01	0.000000E+00	-8.454366E-01
-8.436367E-01	0.000000E+00	-8.436367E-01
-9.163712E-01	0.000000E+00	-9.163712E-01
-8.462256E-01	0.000000E+00	-8.462256E-01
-8.904474E-01	0.000000E+00	-8.904474E-01
-8.904474E-01	0.000000E+00	-8.904474E-01
-8.736519E-01	0.000000E+00	-8.736519E-01
-8.664964E-01	0.000000E+00	-8.664964E-01
-8.664964E-01	0.000000E+00	-8.664964E-01
-8.754720E-01	0.000000E+00	-8.754720E-01
-8.442137E-01	0.000000E+00	-8.442137E-01
-8.531306E-01	0.000000E+00	-8.531306E-01
-8.411659E-01	0.000000E+00	-8.411659E-01
-8.483461E-01	0.000000E+00	-8.483461E-01
-8.428792E-01	0.000000E+00	-8.428792E-01
-8.464674E-01	0.000000E+00	-8.464674E-01
-8.632723E-01	0.000000E+00	-8.632723E-01
-8.460976E-01	0.000000E+00	-8.460976E-01
