HRUGIS,GLMTMP,GLMFMX,GLMFMN,f_frze,f_accu
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
7,4.449705E-01,4.931367E-01,5.893693E+00,2.200335E-01,9.409744E-02
8,4.449705E-01,4.931367E-01,5.893693E+00,2.200335E-01,9.409744E-02
9,4.449705E-01,4.931367E-01,5.893693E+00,2.200335E-01,9.409744E-02
10,4.449705E-01,4.931367E-01,5.893693E+00,2.200335E-01,9.409744E-02
11,4.449705E-01,4.931367E-01,5.893693E+00,2.200335E-01,9.409744E-02
12,4.449705E-01,4.931367E-01,5.893693E+00,2.200335E-01,9.409744E-02
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
18,4.449705E-01,4.931367E-01,5.893693E+00,2.200335E-01,9.409744E-02
19,4.449705E-01,4.931367E-01,5.893693E+00,2.200335E-01,9.409744E-02
20,4.449705E-01,4.931367E-01,5.893693E+00,2.200335E-01,9.409744E-02
21,4.449705E-01,4.931367E-01,5.893693E+00,2.200335E-01,9.409744E-02
22,4.449705E-01,4.931367E-01,5.893693E+00,2.200335E-01,9.409744E-02
23,4.449705E-01,4.931367E-01,5.893693E+00,2.200335E-01,9.409744E-02
24,4.449705E-01,4.931367E-01,5.893693E+00,2.200335E-01,9.409744E-02
25,4.449705E-01,4.931367E-01,5.893693E+00,2.200335E-01,9.409744E-02
26,4.449705E-01,4.931367E-01,5.893693E+00,2.200335E-01,9.409744E-02
27,4.449705E-01,4.931367E-01,5.893693E+00,2.200335E-01,9.409744E-02
28,4.449705E-01,4.931367E-01,5.893693E+00,2.200335E-01,9.409744E-02
29,4.449705E-01,4.931367E-01,5.893693E+00,2.200335E-01,9.409744E-02
30,4.449705E-01,4.931367E-01,5.893693E+00,2.200335E-01,9.409744E-02
31,4.449705E-01,4.931367E-01,5.893693E+00,2.200335E-01,9.409744E-02
32,4.449705E-01,4.931367E-01,5.893693E+00,2.200335E-01,9.409744E-02
0,0,0,0,0,0
0,0,0,0,0,0
35,4.449705E-01,4.931367E-01,5.893693E+00,2.200335E-01,9.409744E-02
36,4.449705E-01,4.931367E-01,5.893693E+00,2.200335E-01,9.409744E-02
37,4.449705E-01,4.931367E-01,5.893693E+00,2.200335E-01,9.409744E-02
0,0,0,0,0,0
0,0,0,0,0,0
40,4.449705E-01,4.931367E-01,5.893693E+00,2.200335E-01,9.409744E-02
41,4.449705E-01,4.931367E-01,5.893693E+00,2.200335E-01,9.409744E-02
0,0,0,0,0,0
43,4.449705E-01,4.931367E-01,5.893693E+00,2.200335E-01,9.409744E-02
44,4.449705E-01,4.931367E-01,5.893693E+00,2.200335E-01,9.409744E-02
45,4.449705E-01,4.931367E-01,5.893693E+00,2.200335E-01,9.409744E-02
46,4.449705E-01,4.931367E-01,5.893693E+00,2.200335E-01,9.409744E-02
47,4.449705E-01,4.931367E-01,5.893693E+00,2.200335E-01,9.409744E-02
48,4.449705E-01,4.931367E-01,5.893693E+00,2.200335E-01,9.409744E-02
49,4.449705E-01,4.931367E-01,5.893693E+00,2.200335E-01,9.409744E-02
