Sub	ES_ID	A_km2	Rel_A	V_km3	Rel_V	GWE_mm	W_GWE_mm	ES_UL_m
1	1	0	0	0	0	0	0	5000
1	2	0	0	0	0	0	0	5050
1	3	0	0	0	0	0	0	5100
1	4	0	0	0	0	0	0	5150
1	5	0	0	0	0	0	0	5200
1	6	0	0	0	0	0	0	5250
1	7	0	0	0	0	0	0	5300
1	8	0	0	0	0	0	0	5350
1	9	0.008594	0.00346479	5.8e-05	0.20470326	6787.4351	23.517	5400
1	10	0.009219	0.00371677	5.9e-05	0.20711998	6401.9696	23.7946	5450
1	11	0.005938	0.00239385	5.2e-05	0.18381673	8821.5533	21.1175	5500
1	12	0.002344	0.00094494	2.1e-05	0.07275386	8845.2151	8.3582	5550
1	13	0.009688	0.00390576	9.4e-05	0.33160616	9753.8151	38.096	5600
1	14	0	0	0	0	0	0	5650
1	15	0	0	0	0	0	0	5700
1	16	0	0	0	0	0	0	5750
2	1	0	0	0	0	0	0	5000
2	2	0	0	0	0	0	0	5050
2	3	0	0	0	0	0	0	5100
2	4	0	0	0	0	0	0	5150
2	5	0	0	0	0	0	0	5200
2	6	0	0	0	0	0	0	5250
2	7	0	0	0	0	0	0	5300
2	8	0.020781	0.01410841	0.00058	0.09937025	27921.4339	393.9271	5350
2	9	0.012188	0.00827411	0.000178	0.03054655	14635.2638	121.0937	5400
2	10	0.02625	0.01782115	0.000387	0.06632461	14753.6128	262.9264	5450
2	11	0.042656	0.02895937	0.000499	0.08539336	11689.4593	338.5194	5500
2	12	0.119375	0.08104381	0.002221	0.38029909	18602.2249	1507.5952	5550
2	13	0.106875	0.07255755	0.00125	0.21403607	11694.0197	848.4894	5600
2	14	0.046094	0.03129309	0.000459	0.07859666	9956.6909	311.5757	5650
2	15	0.020781	0.01410841	0.000244	0.04179274	11743.0836	165.6763	5700
2	16	0.001094	0.00074255	2.1e-05	0.00364066	19436.3754	14.4324	5750
3	1	0	0	0	0	0	0	5000
3	2	0	0	0	0	0	0	5050
3	3	0	0	0	0	0	0	5100
3	4	0.001719	0.0012483	2.8e-05	0.00155479	16024.1603	20.0029	5150
3	5	0.059219	0.04300953	0.001623	0.0916193	27405.9402	1178.7167	5200
3	6	0.111875	0.08125284	0.002648	0.14946098	23665.2863	1922.8717	5250
3	7	0.105937	0.07694054	0.002152	0.1214978	20315.8814	1563.1148	5300
3	8	0.16125	0.11711303	0.003784	0.21364274	23469.5844	2748.5941	5350
3	9	0.142031	0.10315479	0.002798	0.15792747	19696.5765	2031.7962	5400
3	10	0.098906	0.07183386	0.001558	0.08796492	15754.433	1131.7018	5450
3	11	0.081563	0.0592374	0.001174	0.0662649	14391.6298	852.5228	5500
3	12	0.060313	0.0438039	0.000976	0.05508559	16178.8503	708.6968	5550
3	13	0.040156	0.02916478	0.000764	0.04310349	19014.1198	554.5425	5600
3	14	0.008906	0.00646845	0.00021	0.01187805	23624.7446	152.8155	5650
3	15	0	0	0	0	0	0	5700
3	16	0	0	0	0	0	0	5750
