HRUGIS,GLMTMP,GLMFMX,GLMFMN,f_frze,f_accu
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
7,-3.610741E-01,3.851498E-01,6.885614E+00,5.267963E-01,1.246469E-01
8,-3.610741E-01,3.851498E-01,6.885614E+00,5.267963E-01,1.246469E-01
9,-3.610741E-01,3.851498E-01,6.885614E+00,5.267963E-01,1.246469E-01
10,-3.610741E-01,3.851498E-01,6.885614E+00,5.267963E-01,1.246469E-01
11,-3.610741E-01,3.851498E-01,6.885614E+00,5.267963E-01,1.246469E-01
12,-3.610741E-01,3.851498E-01,6.885614E+00,5.267963E-01,1.246469E-01
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
18,-3.610741E-01,3.851498E-01,6.885614E+00,5.267963E-01,1.246469E-01
19,-3.610741E-01,3.851498E-01,6.885614E+00,5.267963E-01,1.246469E-01
20,-3.610741E-01,3.851498E-01,6.885614E+00,5.267963E-01,1.246469E-01
21,-3.610741E-01,3.851498E-01,6.885614E+00,5.267963E-01,1.246469E-01
22,-3.610741E-01,3.851498E-01,6.885614E+00,5.267963E-01,1.246469E-01
23,-3.610741E-01,3.851498E-01,6.885614E+00,5.267963E-01,1.246469E-01
24,-3.610741E-01,3.851498E-01,6.885614E+00,5.267963E-01,1.246469E-01
25,-3.610741E-01,3.851498E-01,6.885614E+00,5.267963E-01,1.246469E-01
26,-3.610741E-01,3.851498E-01,6.885614E+00,5.267963E-01,1.246469E-01
27,-3.610741E-01,3.851498E-01,6.885614E+00,5.267963E-01,1.246469E-01
28,-3.610741E-01,3.851498E-01,6.885614E+00,5.267963E-01,1.246469E-01
29,-3.610741E-01,3.851498E-01,6.885614E+00,5.267963E-01,1.246469E-01
30,-3.610741E-01,3.851498E-01,6.885614E+00,5.267963E-01,1.246469E-01
31,-3.610741E-01,3.851498E-01,6.885614E+00,5.267963E-01,1.246469E-01
32,-3.610741E-01,3.851498E-01,6.885614E+00,5.267963E-01,1.246469E-01
0,0,0,0,0,0
0,0,0,0,0,0
35,-3.610741E-01,3.851498E-01,6.885614E+00,5.267963E-01,1.246469E-01
36,-3.610741E-01,3.851498E-01,6.885614E+00,5.267963E-01,1.246469E-01
37,-3.610741E-01,3.851498E-01,6.885614E+00,5.267963E-01,1.246469E-01
0,0,0,0,0,0
0,0,0,0,0,0
40,-3.610741E-01,3.851498E-01,6.885614E+00,5.267963E-01,1.246469E-01
41,-3.610741E-01,3.851498E-01,6.885614E+00,5.267963E-01,1.246469E-01
0,0,0,0,0,0
43,-3.610741E-01,3.851498E-01,6.885614E+00,5.267963E-01,1.246469E-01
44,-3.610741E-01,3.851498E-01,6.885614E+00,5.267963E-01,1.246469E-01
45,-3.610741E-01,3.851498E-01,6.885614E+00,5.267963E-01,1.246469E-01
46,-3.610741E-01,3.851498E-01,6.885614E+00,5.267963E-01,1.246469E-01
47,-3.610741E-01,3.851498E-01,6.885614E+00,5.267963E-01,1.246469E-01
48,-3.610741E-01,3.851498E-01,6.885614E+00,5.267963E-01,1.246469E-01
49,-3.610741E-01,3.851498E-01,6.885614E+00,5.267963E-01,1.246469E-01
