Run   obj.function   P01           P02           P03           P04           P05           P06           P07           P08           P09           P10           P11           P12           P13           P14           P15           
1     -6.654411E-01  2.714789E+02  1.381110E-01  1.265588E-01  4.726052E+03  6.664199E-01  3.583817E-01  9.185414E+01  5.366583E-01  3.123339E+02  -4.677907E+00  -1.312950E+00  2.966958E-01  4.899478E+00  1.370631E+01  4.816253E-01  
2     -7.148649E-01  2.341618E+02  1.939710E-01  1.265443E-01  1.992447E+03  8.122816E-01  3.080616E-01  8.775791E+01  4.982359E-01  2.364225E+02  -3.343629E+00  -4.434328E+00  9.747338E-01  1.122931E+01  1.858385E+01  5.663343E-01  
3     -7.426885E-01  2.345305E+02  1.953891E-01  7.973777E-02  4.142201E+03  1.319469E-01  5.904590E-01  8.270965E+01  4.960066E-01  2.339570E+02  1.723306E+00  3.903883E+00  1.890935E-01  1.902598E+01  1.953266E+01  9.008338E-02  
4     -7.752072E-01  4.616331E+02  1.784211E-01  1.201025E-01  2.619677E+03  2.003642E-01  4.985788E-01  9.421293E+01  6.879608E-01  1.280022E+01  -6.394220E-01  -1.942122E+00  4.336423E-01  1.847874E+01  1.631910E+01  1.124168E-01  
5     -5.500070E-01  6.376679E+01  1.791065E-01  5.834269E-02  1.785648E+03  6.695513E-01  4.294610E-01  9.772497E+01  9.115342E-01  1.689187E+02  4.087683E-01  3.806740E-01  9.778860E-01  5.790339E+00  1.526115E+01  1.029522E-01  
6     -6.303099E-01  1.681593E+02  1.376212E-01  2.941382E-02  1.116721E+03  2.377067E-01  3.826744E-01  8.003775E+01  1.236139E-01  1.770792E+02  3.632869E+00  4.028205E-01  4.007557E-01  3.809888E+00  1.966821E+01  2.003843E-01  
7     -7.013715E-01  1.047103E+02  6.843845E-02  3.527131E-02  4.992071E+03  1.515936E-01  9.137111E-01  8.283360E+01  4.357663E-01  1.543633E+02  3.850290E+00  -1.051512E-01  5.086478E-01  1.067609E+01  8.912690E+00  7.895250E-01  
8     -6.247840E-01  3.730832E+02  1.521864E-01  6.579301E-02  1.859053E+02  1.483230E-01  5.973690E-01  9.568606E+01  5.192546E-01  8.675847E+01  -2.186231E+00  2.482088E+00  8.184456E-01  1.927242E+01  8.315343E+00  2.338818E-01  
9     -7.066704E-01  4.074858E+02  1.809392E-01  3.813958E-02  5.952243E+02  8.989151E-01  1.625769E-02  8.098454E+01  6.285334E-01  3.786533E+02  3.552295E+00  -1.723639E+00  5.264771E-01  6.729493E+00  7.829533E+00  4.731724E-01  
10    -5.480298E-01  4.164846E+01  1.949880E-01  3.902614E-02  4.634706E+03  4.012488E-02  2.046040E-01  8.229655E+01  1.778572E-02  2.684969E+02  4.493317E+00  3.370411E+00  9.953357E-01  1.443467E+01  1.138002E+01  2.764908E-01  
