True Cost 	Penalty 	Adjusted Cost
-6.654411E-01	0.000000E+00	-6.654411E-01
-7.148649E-01	0.000000E+00	-7.148649E-01
-7.426885E-01	0.000000E+00	-7.426885E-01
-7.752072E-01	0.000000E+00	-7.752072E-01
-5.500070E-01	0.000000E+00	-5.500070E-01
-6.303099E-01	0.000000E+00	-6.303099E-01
-7.013715E-01	0.000000E+00	-7.013715E-01
-6.247840E-01	0.000000E+00	-6.247840E-01
-7.066704E-01	0.000000E+00	-7.066704E-01
-5.480298E-01	0.000000E+00	-5.480298E-01
-6.446155E-01	0.000000E+00	-6.446155E-01
-8.392722E-01	0.000000E+00	-8.392722E-01
-6.373098E-01	0.000000E+00	-6.373098E-01
-6.768031E-01	0.000000E+00	-6.768031E-01
-7.482046E-01	0.000000E+00	-7.482046E-01
-5.473234E-01	0.000000E+00	-5.473234E-01
-6.612113E-01	0.000000E+00	-6.612113E-01
-7.736112E-01	0.000000E+00	-7.736112E-01
-7.509552E-01	0.000000E+00	-7.509552E-01
-6.526095E-01	0.000000E+00	-6.526095E-01
-8.392722E-01	0.000000E+00	-8.392722E-01
